;.\Aae UPO 1-1 10ul 1.Sample.Raw.csv;;.\Aae UPO 1-10 10ul 1.Sample.Raw.csv;;.\Aae UPO 1-10 10ul 2.Sample.Raw.csv;;.\Aae UPO 1-10 10ul 3.Sample.Raw.csv;
;s; A;s; A;s; A;s; A
;;;;;;;;
27;5.4;0.9350200000000001;5.4;0.096578;5.4;0.095679;5.4;0.093648
28;5.6;0.9466959999999999;5.6;0.09813999999999999;5.6;0.09726599999999999;5.6;0.095088
29;5.8;0.959306;5.8;0.099511;5.8;0.098342;5.8;0.096444
30;6.0;0.970032;6.0;0.10082999999999999;6.0;0.09995599999999999;6.0;0.097832
31;6.2;0.9790639999999999;6.2;0.102396;6.2;0.10146799999999999;6.2;0.099399
32;6.4;0.9901639999999999;6.4;0.103497;6.4;0.103094;6.4;0.100491
33;6.6;1.001825;6.6;0.10510699999999999;6.6;0.1046;6.6;0.10180800000000001
34;6.8;1.011734;6.8;0.10636300000000001;6.8;0.10565999999999999;6.8;0.10316199999999999
35;7.0;1.025087;7.0;0.10766300000000001;7.0;0.10740999999999999;7.0;0.104788
36;7.2;1.034577;7.2;0.10903499999999999;7.2;0.108742;7.2;0.106083
37;7.4;1.04557;7.4;0.11029100000000001;7.4;0.110101;7.4;0.107175
38;7.6;1.0566440000000001;7.6;0.111851;7.6;0.11174100000000001;7.6;0.108805
39;7.8;1.0673290000000002;7.8;0.11312699999999999;7.8;0.11310999999999999;7.8;0.109956
40;8.0;1.07748;8.0;0.11433099999999999;8.0;0.114587;8.0;0.111608
41;8.2;1.088751;8.2;0.115625;8.2;0.11592899999999999;8.2;0.11255799999999999
42;8.4;1.0992520000000001;8.4;0.117023;8.4;0.117129;8.4;0.114104
43;8.6;1.110938;8.6;0.11826099999999999;8.6;0.118408;8.6;0.11542100000000001
44;8.8;1.122293;8.8;0.11954400000000001;8.8;0.119969;8.8;0.116619
45;9.0;1.1312209999999998;9.0;0.120925;9.0;0.12119100000000001;9.0;0.11775
46;9.2;1.140521;9.2;0.122074;9.2;0.122744;9.2;0.118902
47;9.4;1.152625;9.4;0.123326;9.4;0.124243;9.4;0.12045299999999999
48;9.6;1.160583;9.6;0.124833;9.6;0.12528599999999998;9.6;0.121458
49;9.8;1.174403;9.8;0.126183;9.8;0.126914;9.8;0.122619
50;10.0;1.18455;10.0;0.127628;10.0;0.128433;10.0;0.124052
51;10.2;1.196345;10.2;0.128433;10.2;0.129601;10.2;0.125203
52;10.4;1.204581;10.4;0.129849;10.4;0.130894;10.4;0.126776
53;10.6;1.217236;10.6;0.131293;10.6;0.131966;10.6;0.12786199999999998
54;10.8;1.226333;10.8;0.132403;10.8;0.133734;10.8;0.12931800000000002
55;11.0;1.235241;11.0;0.133576;11.0;0.134905;11.0;0.130356
56;11.2;1.24654;11.2;0.134978;11.2;0.13610899999999998;11.2;0.131796
57;11.4;1.2562;11.4;0.13617100000000001;11.4;0.137372;11.4;0.13328399999999999
58;11.6;1.2664090000000001;11.6;0.137121;11.6;0.13908299999999998;11.6;0.13428299999999999
59;11.8;1.2777120000000002;11.8;0.138688;11.8;0.140398;11.8;0.13508199999999998
60;12.0;1.285241;12.0;0.139737;12.0;0.141376;12.0;0.136581
61;12.2;1.2979399999999999;12.2;0.141103;12.2;0.14268499999999998;12.2;0.137882
62;12.4;1.308737;12.4;0.142232;12.4;0.144024;12.4;0.138898
63;12.6;1.318317;12.6;0.14382999999999999;12.6;0.145322;12.6;0.140076
64;12.8;1.324036;12.8;0.144591;12.8;0.146776;12.8;0.141221
65;13.0;1.336383;13.0;0.146092;13.0;0.148253;13.0;0.14241800000000002
66;13.2;1.3473959999999998;13.2;0.147146;13.2;0.14949500000000002;13.2;0.143731
67;13.4;1.359514;13.4;0.148479;13.4;0.150506;13.4;0.145029
68;13.6;1.368307;13.6;0.149589;13.6;0.151882;13.6;0.14608
69;13.8;1.375684;13.8;0.150626;13.8;0.153306;13.8;0.147561
70;14.0;1.386336;14.0;0.15196400000000002;14.0;0.154211;14.0;0.148662
71;14.2;1.3984860000000001;14.2;0.153504;14.2;0.15543900000000002;14.2;0.149387
72;14.4;1.4048049999999999;14.4;0.154473;14.4;0.156868;14.4;0.150544
73;14.6;1.4166729999999998;14.6;0.155381;14.6;0.157942;14.6;0.151843
74;14.8;1.4285139999999998;14.8;0.156836;14.8;0.159413;14.8;0.152835
75;15.0;1.437243;15.0;0.158026;15.0;0.160778;15.0;0.15425
76;15.2;1.445777;15.2;0.159187;15.2;0.16145199999999998;15.2;0.15520799999999998
77;15.4;1.4576799999999999;15.4;0.160234;15.4;0.162973;15.4;0.15665
78;15.6;1.461937;15.6;0.161322;15.6;0.164076;15.6;0.157601
79;15.8;1.4732319999999999;15.8;0.162915;15.8;0.16551400000000002;15.8;0.15881199999999998
80;16.0;1.480612;16.0;0.16406300000000001;16.0;0.166938;16.0;0.15991
81;16.2;1.491715;16.2;0.164722;16.2;0.167972;16.2;0.160842
